_id,name,scheduleTime,time,shift,activityOrder,records[0],records[1],records[2],records[3],records[4],records[5],records[6],_class
67120dcd77c2145c2da8ae76,ATM/CDM Monitoring /VVW Transaction Monitoring /Ceft Monitoring/,12.10,Fri Oct 18 12:57:09 IST 2024,Morning-Weekday-Normal,1,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5705d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57134""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9671""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e9748""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e981f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f47""}}",com.ncinga.backend.documents.Activities
67120dce77c2145c2da8ae77,PCM Files Send,12.33,Fri Oct 18 12:57:10 IST 2024,Morning-Weekday-Normal,2,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5705e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57135""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9672""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e9749""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9820""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f48""}}",com.ncinga.backend.documents.Activities
67120dce77c2145c2da8ae78,Credit Card Statements submission check,15.00,Fri Oct 18 12:57:10 IST 2024,Morning-Weekday-Normal,3,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5705f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57136""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9673""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9821""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f49""}}",com.ncinga.backend.documents.Activities
67120dce77c2145c2da8ae79,Bulk and personalized card upload,15.10,Fri Oct 18 12:57:10 IST 2024,Morning-Weekday-Normal,4,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57060""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57137""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9674""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9822""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4a""}}",com.ncinga.backend.documents.Activities
67120dd077c2145c2da8ae82,BNK/DW export Complete check,15.11,Fri Oct 18 12:57:12 IST 2024,Morning-Weekday-Normal,5,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57061""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57138""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9675""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9823""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4b""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae7c,Tally SOD (06.30AM - 07.30AM),15.12,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,6,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57062""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57139""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e959f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9676""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9824""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4c""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae7e,Pawning SOD and Reports (07.00 AM),15.13,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,7,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57063""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a0""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9677""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9825""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4d""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae7d,IWD 1 (08.00AM - 09.00AM)  -  /t24share/TPHSharedFolder/LNKCLRInput,15.14,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,8,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57064""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a1""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9678""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031000f098a7b551e974f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9826""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4e""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae7f,Margin trade confirmation Email (8.00 AM),15.15,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,9,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57065""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a2""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9679""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9750""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9827""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f4f""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae80,Margin Trading  EOD(8.30 AM),15.16,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,10,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57066""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a3""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9751""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9828""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f50""}}",com.ncinga.backend.documents.Activities
67120dcf77c2145c2da8ae81,Paycorp Settlement files trasfer ,15.17,Fri Oct 18 12:57:11 IST 2024,Morning-Weekday-Normal,11,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57067""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a4""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9752""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9829""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f51""}}",com.ncinga.backend.documents.Activities
67120dd077c2145c2da8ae83,Turn on Reuter deals (8.30AM),15.18,Fri Oct 18 12:57:12 IST 2024,Morning-Weekday-Normal,12,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57068""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5713f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a5""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9753""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e982a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f52""}}",com.ncinga.backend.documents.Activities
67120dd077c2145c2da8ae84,Send CAL/CPL reports,15.19,Fri Oct 18 12:57:12 IST 2024,Morning-Weekday-Normal,13,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57069""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57140""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a6""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9754""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e982b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f53""}}",com.ncinga.backend.documents.Activities
67120dd077c2145c2da8ae85,Run JT/RT.ANALYSE,15.20,Fri Oct 18 12:57:12 IST 2024,Morning-Weekday-Normal,14,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5706a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57141""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a7""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9755""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e982c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f54""}}",com.ncinga.backend.documents.Activities
67120dd077c2145c2da8ae86,Add to records from JT report to COB over 5 minutes sheet,15.21,Fri Oct 18 12:57:12 IST 2024,Morning-Weekday-Normal,15,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5706b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57142""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a8""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e967f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9756""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e982d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f55""}}",com.ncinga.backend.documents.Activities
67120dd177c2145c2da8ae87,COB EOD Error List,15.22,Fri Oct 18 12:57:13 IST 2024,Morning-Weekday-Normal,16,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5706c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57143""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95a9""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9680""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9757""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e982e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f56""}}",com.ncinga.backend.documents.Activities
